Original;Conceptos
nathans;
muchsigh;
investment;investing,casting,metal,wax,vestment,bronze
desolate;abandon,lay-waste-to,depopulate,comfortless,barren,unfit,dismal,forsake,use,inhospitable,inconsolable
handful;fistful,hand,manage
annette;
bingen;
timetable;schedule,departure,schedule
almost;nearly,virtually,nearly,quite
otheri;
dagmara;
ubergeeky;supergeeky,geeky
taft;Lorado-Taft,William-Howard-Taft,flange,outward,pipe,spread
chum;chum-salmon,buddy,sharks,rooms,lodge,rancid
teacher;forefinger,lesson,index-finger
estimation;estimate,appraisal,estimate,estimate,estimable,regard,position,process
compliance;conformity,complaisance,plan,flexibility,regulation
nicky;
philharmonic;symphony-orchestra,philharmonic-orchestra,appreciative,music,symphony-orchestra,performance,musical
macmahon;
irk;gall,irritate,annoy
ghraib;
sollett;
untouched;unmoved-p-,untasted,uninfluenced,eaten,contact,pristine,affected,undamaged
britney;Britney-Spears,brittany
slaughter;butcher,thrashing,massacre,slay,massacre,rout,animal,kill,massacre,carnage,massacre
bass;freshwater-bass,sea-bass,guitar,fish,instrument,low,double-bass,low,soprano
cropper;sharecropper,fall,pigeon,tumble
lopez;
ponderosa;pine-tree
trolllike;troll
ghettowhich;
paragonelvira;
william;billy,wills,willy
roddenberry;
impersonator;impressionist,entertainer,impersonate,impression
certain;sealed,certain-p-,sure,predictable,for-sure,fact,fated,reliable,indisputable,foreordained,definite
fellow;companion,colleague,boyfriend,chap,guy,man,person,good,jolly
presentation;display,presentation,trauma,gift,symptom,clergyman,foetus
bush;bush-league,scrub,pubic-hair,president,outback
undo;unmake,unwrap,untie,reverse,action,downfall
additional;additive
preparation;homework,formulation,planning,readiness,training,prepare,sabbath,devotional,dissonance,substance
disaster;catastrophe,calamity,damage,destruction,loss,catastrophe
allocate;allocable,to,memory
paulette;
suburbanite;suburbian,suburbs
waysthe;
jordana;
midtwenties;
flight;trajectory,fledge,escape,flee,kick,speed,trajectory,air
lethal;paraffine,lethality,mortal,alcohol,fatal
basket;container,woven,guard,vase,trug
glandular;gland
basic;introductory,canonical,basic,c,cobol,fortran,necessary,basic-training,alkaline,basal,underlying,grassroots,elementary
ratzoff;
yank;Yankee-Doodle,remove,pull,northerner
periodsee;
middlemanif;
arnie;arnold,given-name
pappa;dad
environment;environmentalist,political,scope,variable
arm;branch,sleeve,weapon,hand,appendage,limb,shoulder,body
chamberlain;Arthur-Neville-Chamberlain,camerlengo
anticipation;prediction,anticipate,anticipator,prolepsis,non-harmonic-tone,eagerness
attest;testify,evidence,affirm,supply,genuine
madam;dame,quarrelsome,pimp,sir
proposal;marriage-proposal,propose,proposition,spouse,counsel,tip,proposition,advice,suggestion
hazardous;hazard,dangerous,fearful,dangerous,perilous
adrenalinepumping;
kmph;kph,km-hr,km-h
campfire;bonfire,camping,bugs,campfire-song
babs;barbara,diminutive,sy,given-name,s
altitude;elevation,heavenly-body,vertical,sea-level,angular,height
plummer;minnesota,idaho
loiss;
courtesan;concubine,prostitute,court,royal,noble
showchandler;
horde;drove,troop,travel,pasturage,multitude,plunder
availability;handiness,available,available,unavailable
dense;impenetrable,intelligence,together,light,understand,impenetrable,stupid,heavy
youngster;child,person,young
soundstage;
strength;intensity,forte,lastingness,persuasiveness,force,strong,attribute,intensity,being
funky;foul-smelling,low-down,fear,african-american,funk,cowardly,unconventional
orleans;plum,orleans-parish,clothes,cotton,new-orleans
feelgood;
hitakshays;
attache;attache-case,embassy
admire;approbation,love,reverence,estimate,wonder
goneare;
displace;move,fire,repress,forcibly,substitute,superior
offbeat;upbeat,far-out,ordinary,unconventional,conform,unconventional,unusual
glynnis;
loudmouthed;indiscreet
mindset;mentality,attitude,habitual,opinion,thinking
aggressor;attacker,aggression,quarrel,assailant,aggressive
woolcott;
lotus;nymphaea,diospyros-lotus,motif,egyptian,water-lily
stomachi;
poll;pate,european,horn,opinion,statistically,formal,survey
eleven;11,football-team,physically,football,ten,attractive
stevens;George-Stevens,Stanley-Smith-Stevens,Wallace-Stevens,steven,steven,patronymic,surname,english
alivefor;
isntno;
mbongeni;
majority;major,ancestry,ancestors,most,plurality
timesi;
ineptitude;awkwardness,worthlessness,inept
liotta;
thrillertype;
production;output,product,produce,factory,making,make,making-things
volume;bulk,book,height,quantity,cubic,waft,hard-disk
roletim;
wellpaced;
liveaction;
didntthe;
julius;julia,julian,july
polygamy;mate,concubine,polygyny,harem
colorless;achromatic,dull,prefaded,waxlike,pastelike,dulled,whitened
welldrawn;
abruptly;abrupt,precipitously
outjust;
kristel;
canadiansjazmine;
committedvery;
marshall;marshal,George-Catlett-Marshall,John-Marshall,E.-G.-Marshall,county-seat,occupational,searcy-county,usa,michigan
inoffensive;harmless,offend,offense,offender,unobjectionable,offenceless,harmless
starthe;
spectaculardiry;
filmsnot;
marble;lamb,viscous,streaked,paint
crapthe;
preschooler;school,preschool
falter;bumble,hesitation,stumble,vigor,stammer,sift
girlsthey;
nostalgia;surroundings,past,halcyon-days,familiar
luckykind;
beckham;
malefique;
corpse;cadaver,dead,body,corpsy,uncontrollably
lafontaine;fontaine
gabor;Dennis-Gabor
planetarium;museum,orrery,astronomical,dome
store;memory,shop,storehouse,register,abundance,shop
backstory;life,cover-story,experience,fictitious,prequel
vanity;amour-propre,conceit,dressing-table,toilet-table,vain,pride,desk,dressing-table
lizard;lounge-lizard,reptile,handshape,snake,scissors,paper
makewaco;
bankrupt;belly-up,bankruptcy,defunct,debt,illiquid,insolvent
smutty;cruddy,obscene,soil,smut,indecent,dirty,dirty
shefali;
preachy;didactic,moralization,instructive
gouge;dent,rout,extort,swindle,leather,bookbinder,fraud,imposition,curve
netherlands;Netherlands,holland,embassy,appendix:countries-of-world,appendix:place-names-in-netherlands,hindquarters,kingdom-of-netherlands
move;travel,go,be-active,action,motion,relocate,change,houses
touchingly;affectingly,touching
funnyso;
biological;organic,biology,consanguinity,birth-mother,begotten
painsthough;
geography;geographical,subject,region,planet,physical
another;some-other,else,someone,other,person,different
bebble;
kongbut;
godawful;
gustplayed;
terribly;atrociously,frightfully,grisly,extremely,very,awe,badly
arc;arch,bow,discharge,hot,function,insulating,discharge,story-arc
radar;position,analysis,sonar,scan,distant
lidzandie;
embolden;cheer,boldface,encourage,boldface,inspire,bolder,courageous
overrun;overproduction,overflow,infest,invade,continue,invade,swarm,numbers,flow
trump;outdo,cornet,trumpet,major-arcana,reserve,game,advantage,underruff
likable;sympathetic,likeable,friendly,liked,likability,personable,enjoyable,sympathetic
fuji;fuji
riverajose;
cuckold;cheat-on,unfaithful,horner,spouse,plectognath,wife,cuckquean
storefake;
sicilian;sicily,chess,opening,native
barbarianthe;
semifeudal;feudalism
girlwell;
boneshinand;
crazybeautiful;
perilli;
compatible;matched,harmonious,congenial,consistent,miscible,harmonious,congruous,congenial
stultification;stultify,stultified
donlevey;
exampleeveryone;
faceless;distinctive,personality,character,anonymous
manhandle;mistreat,maltreat,rough-up,assault,tackle,pulley,rough,men
exvaudevillian;
songsthe;
buzz;hum,rush,hum,slight
noof;
badness;bad,naughtiness,bad
contrive;project,invent,plan,design,devise,improvisation,invent
jonesthis;
liveswe;
realquickly;
thinness;sparseness,leanness,fineness,thin
effortlessly;easily,effort,struggle,difficulty
denny;dennis,diminutive,given-name,surname,denni
sorcery;witchcraft,black-magic,sorceress,sorcerer
ooky;
shaolin;chinese,martial-art
naturalbut;
laughfest;
heighten;enhance,intensify,sharpen,raise,high,elevate
bunuel;Luis-Bunuel
ukulele;uke,string,guitar,four
unlikeable;unsympathetic,nasty,uncongenial,antipathetic,disliked
study;learn,survey,sketch,discipline,cogitation,room,review,publication,practise,knowledge,boudoir
worksif;
againid;
pronoun;anaphora,adjective,noun-phrase,noun
musician;person,music,hobby,occupation,performer
oblige;compel,moral,service,indebted,obligatory,noblesse-oblige
debacle;thrashing,rush,event,sudden,enterprise
lex;lex,parsing,lexical-analysis,token,lexington,convert
warrnen;
jew;Israelite,miserly,jew's-harp,judaism,jew's-harpist,greedy
midget;dwarf,dwarf,mosquito,swarming,sandfly,midge,microscopic,dwarf
tribbles;tribble
timemuch;
executive;administrator,officer,government,administrator
golding;Sir-William-Gerald-Golding,golding-hop,red-hop,coccinellidae,canterbury-hop,corn-marigold,ladybird
lee;Tsung-Dao-Lee,Lighthorse-Harry-Lee,Shelton-Jackson-Lee,Robert-Edward-Lee,Richard-Henry-Lee,fluid,placename,ley,place-name,leeside
unfair;devenustate,partial,unjust,prejudiced,biased,wrong,unsportsmanlike,below-the-belt,raw
apologize;offense,fault,amends,apologia,acknowledge
correct;right,decline,compensate,accurate,true,proper,grade,proper,straight,accurate,letter-perfect
spasmodic;convulsive,spasm,contraction,burst,convulsive,abrupt,sporadic
insatiable;insatiate,satisfied,satiable,appease
blevel;
eventjohn;
muriels;
messageboard;
doom;destine,sentence,assess,doomsday,genre,danger
quatermass;
dreamanother;
pickup;cartridge,tone-arm,pick-up-line,record-player,pick-up-joint,field,augment
greatthe;
mothball;ball,larvae,store,mold,paradichlorobenzene
half;one-half,halve,quarter,partial,part,half-sibling,equal,fractional,incomplete
atf;Bureau-of-Alcohol-Tobacco-and-Firearms,fleet-tugboat,fighter,fleet-tug,batf,advanced
dreadlock;dread,dreadlocks,strand,single,dreadlocks
thirtyfive;
vigilante;jurisdiction,neighborhood,summarily
wes;
nosethumbing;
siegels;
tasha;given-name,natasha
stair;ladder,landing,series,staircase,step
ideal;abstract,best,georgia,lie-ideal,negligible,perfect,subset
clausthe;
thoughtprovoking;
wealth;amount,great
sorkin;
tomlyn;
visual;envisage,evidence,image,ocular,picture,visage,visible
bradbury;Ray-Douglas-Bradbury
digresswatching;
wellthere;
irrelevancebeside;
stairwell;multi-story,shaft,staircase,stairway
newfangled;different,modern,new-fangled,unfamiliar
bareknuckle;
guynamed;
outpost;frontier-settlement,main,outstation,protect,settlement,square
complimentary;charge,compliment,costless,encomiastic,favorable,laudatory
memorablethe;
litja;
performance;achievement,action,operation,perform,performant,show
charmingother;
unprecedented;precedent,unexampled
concrete;mass,objective,practical,real,solid,tangible,uhpc
bankable;acceptable,bank,profitable,reliable
scriptnot;
tempestuous;stormy,tempest,tumultuous,unpeaceful
onenot;
teamo;
parentsim;
foeinterestingly;
oblique;base,bias,convergent,crabwise,devious,diagonal,divergent,external-oblique-muscle,inclined,nonparallel,oblique-angled,oblique-case
temptation;actions,attractive,enticement,tempting
deft;dexterous,neat,quick,skillful
wuxie;
sensei;martial-arts-instructor-sensei-of-martial-arts-usually-live-and-or-work-at-dojo-where-they-instruct-their-apprentices-live-in-apprentice-is-also-called-uchi-deshi
husband;conserve,pollard,property,wife
meaner;
hereon;basis,hereupon,place,subject
gronsky;
directorspent;
unimaginable;beyond-belief,imagined,mind-boggling,out-of-the-question,unimaginability
childbirth;accoucheur,birth,pregnancy,puerperal
bruckheimer;
worldwide;international,oecumenical,world,world-wide
worldly;earthly,economic,material,profane,sophisticated,surfeit,terrestrial,versed,worldly-minded
desirable;enviable,lovable,pleasing,plummy,preferable,sexually-attractive,sought-after,suitable,wanted,worthy
crumb;baked,bread,break-off,cover,crumble,rotter
ambiance;atmosphere,secondary,shading
punka;
national;domestic,federal,interior,nation,nationalistic,public,subject,tournament
itaccording;
clark;Charles-Joseph-Clark,Kenneth-Bancroft-Clark,Mark-Wayne-Clark,William-Clark,clerk,county-seat,south-dakota,usa
villager;worker
rant;bombast,dance,diatribe,emotional,harangue,incoherent,ramble
pixarbottom;
watergate;burglary,gate,resignation,washington-dc,watergate-salad
artand;
appreciatedperhaps;
takahiro;
juicy;au-jus,exciting,juice,lush,profitable,risque,sappy,story,titillating,toothsome
contamination;contaminant,contaminating,decontaminate,foreign,undesirable
martha;lazarus,new-testament
premiere;film,first,play,premier,showing,theatrical
connecticut;connecticut,hartford
hottest;
worksdonovan;
csi;crime,scene
enthusiastically;enthusiast,enthusiastic,excitedly
deeper;
destructive;blasting,breakdown,calamitous,damaging,destroy,destruction,harmful,iconoclastic,negative,ravaging,soul-destroying
eject;consciousness,discharge,ejaculate,ejectamenta,expel,object,squirt,subject
larraz;
lampidorra;
saroor;
villa;Francisco-Villa,birmingham,building,courtyard,dacha
bakery;bake,bakehouse,bread,cake,trade
headstahl;
buywatch;
drutens;
schroder;
dawson;maryland,minnesota,nebraska,new-mexico,usa
dolby;Ray-M.-Dolby
thei;
epitome;epitomator,epitomist,epitomizer,prototype,text
ra;Re,amun,aten,atum,egyptian,khepri,khnum,la,radium,re,right-ascension,royal-navy,sun
exponentially;exponential,greatly,rapidly
olivera;
clooneys;
serenadeduring;
viva;applaud,applause,cheer,oral,shout,viva
armor;formation,metal,protection,tanks
babbar;
mascot;company,group,luck,new-south-wales,symbolize
perfection;divine,endowment,excellence,ideal,paragon,perfectly
octopussy;octopus,octopussy
fresh;clean,disrespectful,flood,freshly,new,reinvigorated,rested,strong,undecomposed,unfermented,unprocessed,unspoilt,wet
teeth;chompers,dentition,effect,enforce,enforceability,mouth,tooth,toothless
lousy;cootie,dirty,filthy,lice,mean,stinking
explainable;explain,explicable,interpretable,understood
apatow;
divorce;disassociate,legally,marriage,qur,separation,split-up
propaganda;behavior,influence,message,opinion
bandstand;amateur,enclosure,musician,nightclub,roofed
contribution;contribute,donation,give,offer
condense;condensation,digest,essence,gas,liquid
hepburnhumphrey;
sancho;nine,sancho-pedro,trump
xanadu;kaiping
mids;heads,kine-bud,marijuana,mersh,middies
hitch;arrest,enlistment,hindrance,hitchhike,limp,trailer-hitch
maury;
coup;coup-d-etat,coup-d-oeil,coup-de-foudre,coup-de-main,deal,putsch
barbary;coastal,mediterranean,north-africa,pirate
soldout;
rafael;
hirschbiegel;
youin;
capital;Capitol,Das-Kapital,city,government,main,majuscule,primary,state,superior,washington
beyond;above,above-and,ayont,further,later,past
terriblethe;
randi;
molotov;Perm,Vyacheslav-Mikhailovich-Molotov,mollie
heep;
weeksdespite;
didor;
confection;cake,concoction,confect,elaborate,literary,result,sweet
murderer;killer,murder,murderess
simple;acuminate,apiculate,dolabriform,easy,orbiculate,plain,round-eyed,simple,simpleton,smooth,three-needled,uncomplicated
historic;grammatical,historical,history,important,noteworthy,recorded,significance
sunshinethe;
milano;Milan
conciliation;communication,neutral,peace,placation,reconciliation,third-party
sheen;arabic-script,oil,shine,shininess,village,ش
nightwe;
moviemakinghis;
productionmy;
outstanding;conspicuous,distinguished,important,outwards,owing,stand-out,superior,unresolved
consistently;consistent,systematically
actingreally;
eponymous;eponym,eponymy,named,person
forgive;compensation,feeling,forgiveness,punishment
seeno;
afflict;affliction
wcw;
wilderness;state,uncultivated
everyonegrant;
garmes;
favortism;
impeachable;impeached,impeachment
multifaceted;aspect,diverse,facet,nuance,varied
wellintentioned;
abet;assist,countenance,encourage,incite,uphold
quitte;
creek;brook,tribe
heartattack;
catholic;anglican,broad-minded,liberal,mormon,orthodox,protestant,quaker,universal
howeverthe;
harrod;Charles-Digby-Harrod,Charles-Henry-Harrod
russel;russell
tommy;army,private,rank-and-file,tommy-atkins
string;bowed-stringed-instrument,cannabis,chain,cosmic-string,cue-ball,drawstring,plant,racehorse,text
prop;advertisement,airplane-propeller,ballot,manually,placed,prop-up,property,strut
fateful;calamitous,decisive,fate,fated,inevitable,momentous,portentous,significant
beenalthough;
penetrator;penetrate
desert;abandon,defect,dry,hot,place,sand,sandy
probation;proof,prove
schoolwork;homework,school-assignment
ohio;columbus,illinois,new-york,pennsylvania
elena;
summer;hot,hot-season,season,spring,warm
revenge;avenge,get-back-at,harm,retaliation,vengeance
velankar;
integer;integrity,set
elinor;eleanor
itjust;
kevin;kev,sharon,working-class
snack;bite,food,nibble,nosh,take-away
member;belonging,club,extremity,group,part,penis,person
incredulity;credible,credulous,creed,incredulous,verisimilitude
moviesmay;
outside;after-school,appearance,except,exterior,external,extramural,extraneous,international,out-of-doors,outdoor-a-,space,unlikely
shabby;despicable,dishonorable,mean,tatty,torn,worn
beastbut;
constantine;Flavius-Valerius-Constantinus,algeria,constance,constantina
getaway;destination,escape,get-away,holiday,pickup,vacation
diesman;
pip;birds,blip,orange,p,pop,shoot,spot,worst
principally;chiefly,mainly,primarily,primary,principal
sweatwe;
againits;
antifascist;fascism,tenet
lincoln;President-Abraham-Lincoln,nebraska,united-kingdom,usa
voce;
woman;charwoman,female,gender,girl,lady,man,person,womanhood
slowerpaced;
unsafe;adventuresome,dangerous,harmful,hazardous,insecure,safe,vulnerable
queer;funny,homophile,null,puzzle,ridicule,thwart,weird
noticeas;
air;air-travel,atmosphere,breathe,breathing,breeze,gas,oxygen
wifeplayed;
remote;distant,inaccessible,outside,remote-control,removed,unlikely
ha;duat,egyptian,hah,hour-angle,kigoma-region,underworld
idiotic;crackbrained,foolish,idiocy,idiot,idiotically,imbecilic,preposterous
muslim;Moslem,follower,islam
nervesenter;
theyproducers;
obriens;
exchange;barter,central,change,rally,stock,substitute,substitution,swap,trade,trading
cockney;accent,cockney,east-end,mannerism
twentieth;20th,twenty
messege;
relevant;applicable,connect,current,germane,out-of-date,pertinent,relevancy,relieve
scenewell;
heavyladen;
homophobe;homophobia,homophobic,homosexual,homosexuality
americanwhy;
raleigh;Sir-Walter-Raleigh,north-carolina,soldier,state,united-states-of-america,usa
firmbrings;
elimination;deduction,disappear,disposal,eliminant,eliminating,reality-television
kolchack;
secret;classified,cloak-and-dagger,concealed,covert,genital,hidden,hide,knowledge,mysterious,organ,secluded,secretion
heavenly;celestial,divinely,godlike,godly,immortal,providential,sacred,superlunary,supernal
ray;beam,cartilage,king,pitman-shorthand,radiate,re,starfish
filmand;
cassandra;apollo,believe,doomsayer,jeremiah,priam,prophetess
framinghammausa;
shockrocker;
bra;brassiere,notation,quantum-mechanics
eliminate;eliminable,eliminant,eliminative,eliminatory,excrete,obviate,rule-out
beginsa;
reconnect;connect
choosealso;
cutout;
hopkinsif;
carper;
barsi;
excel;
girl;child,female,person,woman,young
anarchy;authoritative,authorities,confusion,individual,voluntary
exremely;
wino;alcoholic,drunk,drunkard,indigent,meth,wine
outstandingpeace;
anywaya;
sommeil;
crimespooky;
fardidnt;
interestingthe;
mammoth;elephant,gigantic,glacier,ice-age,paleolithic
sickos;sicko
jess;falconry,fasten,hawk,strap
problembut;
builtin;
boll;Boll,bushel,capsule,cotton,dry-measure,flax
isolationthe;
supervivientes;
grandson;child,son
involve;complicate,concern,connect,consequence,effect,embarrass,envelop,have-to-do-with,implicate,imply,interest,necessitate
stereotypical;clichéd,commonplace,conventional,overuse,stereotype
rhett;
bozz;
crowley;acadia-parish,louisiana,parish-seat,usa
rajnikant;
snooty;elite,pompous,snoot,snootiness,too-big-for-one's-breeches,turn-up-one's-nose
zoeys;
dillion;
onereelers;
antonionis;
absence;absent,absentee,absenteeism,away,blade,petit-mal-epilepsy
exquisitely;exquisite
discipline;disciplined,interdisciplinary,punishment,submission,systematic
wraith;ghost,specter
perfecto;baseball,bowling,brilliant,excellent,perfect
bloch;Ernest-Bloch
dernier;darrein,dernier-cri
aiden;aidan,aiden
sarah;abraham,bible,isaac,sadie,sallie
deceive;betray,defraud,dupe,fool,mislead
acopslike;
nutshelli;
labute;
mirth;gaiety,hilarity,jollity,laughter,mirthful
grab;attention,catch,mast,quickly,snap-up,snatch,unjust
jampack;jam
unsuspecting;suspicion,unaware,unsuspicious
rather;instead,kind-of,or,prefer,preferably
lucien;
goodentertainment;
barnes;barn,london,surrey
farrah;
unintentionallythe;
scoreas;
initiate;broach,initiable,initialism,initialize,lead-up,novice,originate,start
baghdad;bagadates,iraq,muslim,tigris
faulty;acceptable,adequate,defective,fault,inaccurate,perfect
partly;completely,degree,part,partially
literate;belletristic,educated,literacy,literary,read,sophisticated
clashthere;
filmedi;
correspond;character,equate,equivalent,exchange,match,quality,represent,with
brissons;
define;notation,source-code,specify
user;computer,drug-user,exploiter,implied,something,trespasser,wherever
shelby;cleveland-county,county-seat,montana,toole-county,usa
realist;perception,realism,realistic
request;demand,requesting,require
preposterous;common-sense,foolish,nonsensical,topsy-turvy,upside-down
ariseusing;
exultation;exult
gutwrenching;
usualthe;
offthewall;
clearthis;
priority;precedence,prior,validly
guarantee;guarantor,guaranty,undertake,warranty
pudding;black-pudding,course,custard,dessert,steaming,sweet
playbook;children,play,strategy,tactic,text
proton;charge,deuteron,down-quark,electron,element,neutron,nucleus,subatomic-particle,triton
mller;
battleofthesexes;
tottington;
swoop;nosedive,plunge,plunging,pounce,seize,sudden
artcinema;
thumb;finger,flick,handling,hitchhike,ovolo,slider,wear
verbosity;clarity,long-windedness,precision,verboseness,word
marjories;
epiphany;advent,christmas,christmastide,jesus-christ,twelfth-cake,twelve-days-of-christmas
tootsie;tootsie,woman
rse;
mineos;
wordless;silent,speak,speechless,unable,unspoken,unwilling
slowmo;
selfrighteous;
guano;dung
painfulbecause;
europe;European-Union,asia,eurasia,euro,europa,europe,political
kier;bleach,keeve,vat
consummate;complete,completion,consume,experienced,masterful,perfect,unadulterated
wreck;bust-up,crash,damage,ruin,severe,shipwreck
deterioration;descent,deteriorate,dilapidation,disrepair,process,spoilage,worse
darkside;brightside,discordant,evil,hardcore,side
coscriptwriter;
vendettaby;
deflate;compress,disappoint,price
royalty;granting,invention,mineral-right,sovereignty,use,writer
texas;austin,lone-star-state,state,steamboat,united-states-of-america
riya;
aschenbach;
allmighty;
racy;flavor,full-bodied,lively,mobile,piquant,risque,risqué
liferuining;
leia;
crepe;business,crape,crepe-paper,crepe-rubber,french-pancake,notice,pancake,residence
spontaneously;naturally,spontaneous,voluntarily
law;jurisprudence,legal,legislation,order,police,rule,rules
extraordinarily;extraordinary
futility;futile,unimportance,useless
faust;Faustus,alberta,devil,faust,knowledge,lore,magician
drugsoaked;
wrappingthe;
tils;
monger;peddle,promote,sell,trader,undesirable
rangoon;Yangon,burma,myanmar,nay-pyi-taw,naypyidaw,yangon
christie;Dame-Agatha-Mary-Clarissa-Christie,christian,christie,christopher,given-name,ski,turn
stormnaturally;
odd;about,and-change,even,funny,inexact,occasional,ord,two,unexpended,unmatched,unusual
thoughtfully;cleverly,considerately,intelligently,pensively
mame;
grader;first-grader
multibillion;billion,several
freakiest;
cody;William-Frederick-Cody,british-columbia,county-seat,nebraska,park-county,wyoming
backwardsup;
shudder;frisson,horror,jiggle,shake,shiver,tremor
penguin;habit,order,sphenisciformes,spiny
loathsome;abominable,distasteful,nauseating,sickening
anywherei;
singular;funny,individual,kind,remarkable,simple,single,unique
dink;anzac,chip,drop-shot,income,kid
putt;golf,pitch-and-putt,putting-green
highend;
copyi;
catch;apprehension,capture,deal,difficulty,echo,hitch,overtake,stick,watch
startsthe;
monsterontheloose;
turbo;autofire,speed,turban-shell,turbocharger,turbojet
everbut;
polyakova;
hubris;arrogance,pride,sophrosyne
montana;bulgaria,helena,province,state
lff;
glam;archive,glamorous,irs,psychedelic-rock
lq;hq,nlq
sray;
nutshell;in-nutshell,kernel,nut,shell,summarize
gravestone;grave,slab,stone,through-stone
jaw;bone,call-on-the-carpet,chew,chew-the-fat,mouth,part,shark,teeth
wayact;
shockim;
celebrity;celebrate,fame,renown
nonmakeup;
biji;
televisin;
outrageously;outrageous
hilariousplot;
carnage;butchery,chaotic,havoc,massacre,situation,slaughter
gere;
samantha;sam,sami,sammie,sammy
anatoli;
whinney;
hollywoodthis;
hindsightsome;
withinyou;
sequeals;
partthey;
sage;grave,philosopher,sage-green,salvia,stoic,wise
topbilled;
rowdy;brawler,bully,disorderly,loud,raucous,riotous
hatred;disgust,dislike,hate,hateful
chowupon;
standardize;standard
abundance;abound,environment,exuberance,sample,superfluity,trick
whenyou;
flour;amalgamation,farina,meal,mill,pastry,wheat
kamina;
teri;hawick
hardwon;
manthey;
nightly;every-night,night,nocturnal,periodic,program,software
boomtown;ghost-town,growth,rapid
sympathetic;benevolent,commiserative,compassionate,condolent,congenial,empathetic,harmonious,kind,similar,sympathy
barranco;
beast;animal,antisocial,arduous,impose
lizzie;diminutive,elizabeth,given-name
bacterium;bacillus,bacteria,nucleus,organelles,organism,single-celled
sandblaster;sandblast
hotblooded;angered,easily,hot-tempered,rash,reckless,spirited
damnation;condemnation,damned,disapprobation,tarnation
linethe;
great;alexander,awesome,bang-up,extraordinary,good,large,majuscule,outstanding,very,wonderful
nanak;Guru-Nanak
bub;address,bubba,familiar
yearssounds;
vhs;betamax,home,vhs,videotape
grotesquely;grotesque
hollywood;american,brazilian,indecent,motion-picture,wax
benefit;cause,event,fund,profit
shotdaughter;
dellamore;
hav;hbv,hdv,hev,hfv,hgv
cinematically;cinematic
khmmm;
dunst;
continually;often
mramitabh;
sammi;given-name,samantha
atypically;typical,untypically
donahue;
oldi;atc,eurocontrol,icao
burnfordwhen;
retrospect;consideration,hindsight,review
persistence;continuity,doggedness,perseverance,persistent
saudi;Saudi-Arabian,saudi-arabia
stem;bow,corm,descend,indo-european,root,shank,stalk,stem-turn,strake
internal;inner,inside,interior,intern,internecine,intragroup,intrinsic,within
schoolhouse;building,learning,learning-building,school
ornithologist;ornithology
saboteur;fifth-columnist,sabotage,terrorism
timothy;paul,phleum-pratense,tim,timotheus
unwittingly;inadvertently,obliviously,unknowingly,unwitting
happycoming;
affinityfor;
schmalzthis;
movieespecially;
yasmins;
templar;barrister,knights-templar
transcend;exceed,intensity,limit,power,surpass
farther;distance,distant,far,further,greater
tara;buddhist,bye,goodbye,place-name,ta-ta,tara,tarah
champ;champagne,champion,chew,chomp,ground,loch-ness-monster,relief
mannish;adult,butch,human-being,man,manly,masculine,mature,unwomanly
carefully;attentively,care,cautiously,circumspectly,prudently
hourdouglas;
beware;caution,cautious,pay-attention
baywatch;baywatch
restore;backup,recover,reestablish,regenerate,repair,restorer
endsomewhat;
maltin;diastase,fermentative,malt,medicinal,principle
cube;block,box,cubic,data-cube,square,three
fishingnet;
ive;active,belong,relating,suffix,tend
usmoviegoers;
besser;
totalitarianism;absolute,absolutism,dictatorship,state,totalism,totalistic
throughthis;
trainas;
perfectthe;
fez;felt,hat,morocco,tassel,truncate
derive;compound,deduce,derivation,derivative,receive
silver;ash-gray,flatware,gold,metal,metallic,precious,precious-metal,shiny,silver-medal,silverish,silvery
enduredit;
kohl;antimony,dark,decorate,makeup,stibnite
todaya;
liken;class,compare,connect,couple,join
birthday;birthdate,born,cake,celebration,day,party
sepiawhite;
wildly;wild
brownie;cake,chocolate,elf,girl-guide,mythical
guggenheim;Meyer-Guggenheim,Solomon-Guggenheim,museum
natural;biological,earthy,innate,instinctive,lifelike,natural,natural-life,nature,normal,physical,sharp,unbleached,unnatural,unprocessed
hilariousthey;
averagethis;
portugal;country,europe,lusitania,portuguese-republic
bodybag;
corpsesa;
dessert;confection,course,meal,sweet
freshman;first-year,frosh,newcomer,senior,sophomore,upperclassman
cable;cable-television,section,send,wire
showone;
amusement;amuse,entertaining,entertainment
nonexistent;destitute,extinct,lacking,nonexistence,nonexistential,nonextant,real,vanished
co;Colorado,carbon-dioxide,carbon-monoxide,carbonic-acid-gas,conscientious-objector,counterpart,mutually,zu
handcraft;handcrafter,handicraft
kruger;Stephanus-Johannes-Paulus-Kruger
ravage;depredation,destruction,grievous,harry,havoc,lay-waste,lay-waste-to
treacherous;dangerous,deceitful,fearful,perilous,treacher,treachery,unfaithful
fertility;birth,birthrate,fertile,number,richness
reflection;contemplation,expression,image,mirror,mirror-image,observation,propagate,reflect
dreammeanwhile;
miller;Arthur-Miller,flour-mill,milling-machine,millward,mushroom
bird;animal,boo,creature,dame,flying,flying-animal,shuttlecock,wings
nogood;
licensegetting;
hoot;assail,boo,contempt,damn,fun,owl,shout
fullyfledged;
sensitivity;ability,classification,film,proportion,sensitive
movielovers;
makhmalbafs;
wha;
eradicate;completely,eliminate,eradicable,extirpate,radical,root-out,uproot
daslow;
rififi;
spader;
quota;allocation,assign,import,numerus-clausus,part,prescribe
halloverand;
